Num,Name,KCAL,PROTEIN,FAT,CARBON HYDRATE
1035,ラズベリー　生,36,1.1,0.1,10.2
1036,りゅうがん　乾,310,5.1,0.4,72.9
1037,りんご　皮なし　生,53,0.1,0.2,15.5
1038,りんご　皮つき　生,56,0.2,0.3,16.2
1039,りんご　皮つき　焼き,86,0.2,0.4,21.9
1040,りんご　果実飲料　ストレートジュース,43,0.2,0.1,11.8
1041,りんご　果実飲料　濃縮還元ジュース,47,0.1,0.2,11.4
1042,りんご　果実飲料　50%果汁入り飲料,46,0.1,Tr,11.5
1043,りんご　果実飲料　30%果汁入り飲料,46,Tr,Tr,11.4
1044,りんご　缶詰,81,0.3,0.1,20.1
1045,りんご　ジャム,203,0.2,0.1,52.7
1046,えのきたけ　生,34,2.7,0.2,7.6
1047,えのきたけ　ゆで,34,2.8,0.1,7.8
1048,えのきたけ　油いため,71,3.0,3.9,8.8
1049,えのきたけ　味付け瓶詰,76,3.6,0.3,16.9
1050,（きくらげ類）　あらげきくらげ　生,14,0.7,0.1,5.4
1051,（きくらげ類）　あらげきくらげ　乾,184,6.9,0.7,77.0
1052,（きくらげ類）　あらげきくらげ　ゆで,38,1.2,0.1,16.1
1053,（きくらげ類）　あらげきくらげ　油いため,110,2.3,5.2,27.8
1054,（きくらげ類）　きくらげ　乾,216,7.9,2.1,71.1
1055,（きくらげ類）　きくらげ　ゆで,14,0.6,0.2,5.2
1056,（きくらげ類）　しろきくらげ　乾,170,4.9,0.7,74.5
1057,（きくらげ類）　しろきくらげ　ゆで,15,0.4,Tr,6.7
1058,くろあわびたけ　生,28,3.7,0.4,4.9
1059,しいたけ　生しいたけ　菌床栽培　生,25,3.1,0.3,6.4
1060,しいたけ　生しいたけ　菌床栽培　ゆで,22,2.5,0.4,5.1
1061,しいたけ　生しいたけ　菌床栽培　油いため,65,3.3,4.1,7.3
1062,しいたけ　生しいたけ　菌床栽培　天ぷら,201,3.4,14.0,17.8
1063,しいたけ　生しいたけ　原木栽培　生,34,3.1,0.4,7.6
1064,しいたけ　生しいたけ　原木栽培　ゆで,27,2.4,0.4,5.9
1065,しいたけ　生しいたけ　原木栽培　油いため,84,3.8,5.4,8.8
1066,しいたけ　乾しいたけ　乾,258,21.2,2.8,62.5
1067,しいたけ　乾しいたけ　ゆで,40,3.1,0.3,9.9
1068,しいたけ　乾しいたけ　甘煮,116,3.3,0.4,28.9
1069,（しめじ類）　はたけしめじ　生,25,2.6,0.3,4.5
1070,（しめじ類）　はたけしめじ　ゆで,25,2.6,0.3,5.1
1071,（しめじ類）　ぶなしめじ　生,22,2.7,0.5,4.8
1072,（しめじ類）　ぶなしめじ　ゆで,22,2.7,0.2,5.2
1073,（しめじ類）　ぶなしめじ　油いため,66,3.0,5.5,4.8
1074,（しめじ類）　ぶなしめじ　素揚げ,168,3.9,14.3,10.1
1075,（しめじ類）　ぶなしめじ　天ぷら,248,3.4,17.1,23.2
1076,（しめじ類）　ほんしめじ　生,21,2.5,0.4,2.8
1077,（しめじ類）　ほんしめじ　ゆで,26,2.8,0.6,4.1
1078,たもぎたけ　生,23,3.6,0.3,3.7
1079,なめこ　株採り　生,21,1.8,0.2,5.4
1080,なめこ　株採り　ゆで,22,1.6,0.1,5.1
1081,なめこ　カットなめこ　生,14,1.1,0.1,3.6
1082,なめこ　水煮缶詰,13,1.0,0.1,3.2
1083,ぬめりすぎたけ　生,23,2.3,0.4,4.1
1084,（ひらたけ類）　うすひらたけ　生,37,6.1,0.2,4.8
1085,（ひらたけ類）　エリンギ　生,31,2.8,0.4,6.0
1086,（ひらたけ類）　エリンギ　ゆで,32,3.2,0.5,6.5
1087,（ひらたけ類）　エリンギ　焼き,41,4.2,0.5,9.1
1088,（ひらたけ類）　エリンギ　油いため,69,3.2,3.7,8.1
1089,（ひらたけ類）　ひらたけ　生,34,3.3,0.3,6.2
1090,（ひらたけ類）　ひらたけ　ゆで,33,3.4,0.2,6.6
1091,まいたけ　生,22,2.0,0.5,4.4
1092,まいたけ　ゆで,27,1.6,0.5,6.4
1093,まいたけ　油いため,67,2.6,4.4,6.8
1094,まいたけ　乾,273,21.9,3.9,59.9
1095,マッシュルーム　生,15,2.9,0.3,2.1
1096,マッシュルーム　ゆで,20,3.8,0.2,3.7
1097,マッシュルーム　油いため,57,3.6,4.5,4.5
1098,マッシュルーム　水煮缶詰,18,3.4,0.2,3.3
1099,まつたけ　生,32,2.0,0.6,8.2
1100,やなぎまつたけ　生,20,2.4,0.1,4.0
1101,あおさ　素干し,201,22.1,0.6,41.7
1102,あおのり　素干し,249,29.4,5.2,41.0
1103,あまのり　ほしのり,276,39.4,3.7,38.7
1104,あまのり　焼きのり,297,41.4,3.7,44.3
1105,あまのり　味付けのり,301,40.0,3.5,41.8
1106,あらめ　蒸し干し,183,12.4,0.7,56.2
1107,いわのり　素干し,228,34.8,0.7,39.1
1108,うみぶどう　生,6,0.5,0.1,1.2
1109,えごのり　素干し,179,9.0,0.1,62.2
1110,えごのり　おきうと,7,0.3,0.1,2.5
1111,おごのり　塩蔵　塩抜き,26,1.3,0.1,8.8
1112,かわのり　素干し,246,38.1,1.6,41.7
1113,（こんぶ類）　えながおにこんぶ　素干し,224,11.0,1.0,55.7
1114,（こんぶ類）　がごめこんぶ　素干し,216,7.9,0.5,62.1
1115,（こんぶ類）　ながこんぶ　素干し,205,8.3,1.5,58.5
1116,（こんぶ類）　ほそめこんぶ　素干し,227,6.9,1.7,62.9
1117,（こんぶ類）　まこんぶ　素干し　乾,170,5.8,1.3,64.3
1118,（こんぶ類）　まこんぶ　素干し　水煮,28,1.1,0.3,11.6
1119,（こんぶ類）　みついしこんぶ　素干し,235,7.7,1.9,64.7
1120,（こんぶ類）　りしりこんぶ　素干し,211,8.0,2.0,56.5
1121,（こんぶ類）　刻み昆布,119,5.4,0.5,46.0
1122,（こんぶ類）　削り昆布,177,6.5,0.9,50.2
1123,（こんぶ類）　塩昆布,193,16.9,0.4,37.0
1124,（こんぶ類）　つくだ煮,152,6.0,1.0,33.3
1125,すいぜんじのり　素干し　水戻し,10,1.5,Tr,2.1
1126,てんぐさ　素干し,194,16.1,1.0,53.8
1127,てんぐさ　ところてん,2,0.2,0,0.6
1128,てんぐさ　角寒天,159,2.4,0.2,74.1
1129,てんぐさ　寒天,3,Tr,Tr,1.5
1130,てんぐさ　粉寒天,160,0.2,0.3,81.7
1131,とさかのり　赤とさか　塩蔵　塩抜き,19,1.5,0.1,5.1
1132,とさかのり　青とさか　塩蔵　塩抜き,17,0.9,0.2,4.9
1133,ひじき　ほしひじき　ステンレス釜　乾,180,9.2,3.2,58.4
1134,ひじき　ほしひじき　ステンレス釜　ゆで,11,0.7,0.3,3.4
1135,ひじき　ほしひじき　ステンレス釜　油いため,51,0.8,4.7,4.1
1136,ひじき　ほしひじき　鉄釜　乾,186,9.2,3.2,56.0
1137,ひじき　ほしひじき　鉄釜　ゆで,13,0.7,0.3,3.4
1138,ひじき　ほしひじき　鉄釜　油いため,54,0.8,4.7,4.1
1139,ひとえぐさ　素干し,172,16.6,1.0,46.3
1140,ひとえぐさ　つくだ煮,148,14.4,1.3,21.1
1141,ふのり　素干し,207,13.8,1.0,57.8
1142,まつも　素干し,252,27.9,4.9,40.8
1143,むかでのり　塩蔵　塩抜き,12,0.6,0.1,4.2
1144,（もずく類）　おきなわもずく　塩蔵　塩抜き,7,0.3,0.2,2.0
1145,（もずく類）　もずく　塩蔵　塩抜き,4,0.2,0.1,1.4
1146,わかめ　原藻　生,24,1.9,0.2,5.6
1147,わかめ　乾燥わかめ　素干し,164,13.6,1.6,41.3
1148,わかめ　乾燥わかめ　素干し　水戻し,22,2.0,0.3,5.9
1149,わかめ　乾燥わかめ　板わかめ,200,16.7,1.2,47.4
1150,わかめ　乾燥わかめ　灰干し　水戻し,9,1.1,0.1,2.2
1151,わかめ　カットわかめ　乾,186,17.9,4.0,42.1
1152,わかめ　カットわかめ　水煮　（沸騰水で短時間加熱したもの）,17,1.3,0.8,3.8
1153,わかめ　カットわかめ　水煮の汁,0,-,-,0.1
1154,わかめ　湯通し塩蔵わかめ　塩抜き　生,13,1.5,0.3,3.4
1155,わかめ　湯通し塩蔵わかめ　塩抜き　ゆで,7,0.6,0.1,1.4
1157,わかめ　くきわかめ　湯通し塩蔵　塩抜き,18,1.1,0.3,5.5
1158,わかめ　めかぶわかめ　生,14,0.9,0.6,3.4
1159,＜魚類＞　あいなめ　生,105,19.1,3.4,0.1
1160,＜魚類＞　あこうだい　生,86,16.8,2.3,0.1
1161,＜魚類＞　（あじ類）　まあじ　皮つき　生,112,19.7,4.5,0.1
1162,＜魚類＞　（あじ類）　まあじ　皮なし　生,108,19.7,4.1,0.2
1163,＜魚類＞　（あじ類）　まあじ　皮つき　水煮,136,22.4,5.9,0.1
1164,＜魚類＞　（あじ類）　まあじ　皮つき　焼き,157,25.9,6.4,0.1
1165,＜魚類＞　（あじ類）　まあじ　皮つき　フライ,270,20.1,18.2,7.9
1166,＜魚類＞　（あじ類）　まあじ　開き干し　生,150,20.2,8.8,0.1
1167,＜魚類＞　（あじ類）　まあじ　開き干し　焼き,194,24.6,12.3,0.1
1168,＜魚類＞　（あじ類）　まあじ　小型　骨付き　生,114,17.8,5.0,0.1
1169,＜魚類＞　（あじ類）　まあじ　小型　骨付き　から揚げ,268,24.0,18.6,3.5
1170,＜魚類＞　（あじ類）　まるあじ　生,133,22.1,5.6,0.2
1171,＜魚類＞　（あじ類）　まるあじ　焼き,175,28.7,7.7,0.2
1172,＜魚類＞　（あじ類）　にしまあじ　生,156,19.6,9.1,0.1
1173,＜魚類＞　（あじ類）　にしまあじ　水煮,160,21.7,8.8,0.1
1174,＜魚類＞　（あじ類）　にしまあじ　焼き,186,24.7,10.4,0.1
1175,＜魚類＞　（あじ類）　むろあじ　生,147,23.6,6.9,0.4
1176,＜魚類＞　（あじ類）　むろあじ　焼き,167,29.7,6.2,0.6
1177,＜魚類＞　（あじ類）　むろあじ　開き干し,140,22.9,6.2,0.1
1178,＜魚類＞　（あじ類）　むろあじ　くさや,219,49.9,3.0,0.3
1179,＜魚類＞　あなご　生,146,17.3,9.3,Tr
1180,＜魚類＞　あなご　蒸し,173,17.6,12.7,Tr
1181,＜魚類＞　あまご　養殖　生,99,18.3,3.6,0.1
1182,＜魚類＞　あまだい　生,102,18.8,3.6,Tr
1183,＜魚類＞　あまだい　水煮,113,20.7,4.0,Tr
1184,＜魚類＞　あまだい　焼き,110,22.5,2.6,Tr
1185,＜魚類＞　あゆ　天然　生,93,18.3,2.4,0.1
1186,＜魚類＞　あゆ　天然　焼き,149,26.6,6.8,0.1
1187,＜魚類＞　あゆ　天然　内臓　生,180,9.5,17.5,0.3
1188,＜魚類＞　あゆ　天然　内臓　焼き,161,23.0,10.1,0.4
1189,＜魚類＞　あゆ　養殖　生,138,17.8,7.9,0.6
1190,＜魚類＞　あゆ　養殖　焼き,202,22.6,15.1,0.8
1191,＜魚類＞　あゆ　養殖　内臓　生,485,7.4,55.0,0.3
1192,＜魚類＞　あゆ　養殖　内臓　焼き,500,15.2,52.3,0.4
1193,＜魚類＞　あゆ　うるか,157,11.4,13.1,1.8
1194,＜魚類＞　アラスカめぬけ　生,96,17.2,3.4,0.1
1195,＜魚類＞　あんこう　生,54,13.0,0.2,0.3
1196,＜魚類＞　あんこう　きも　生,401,10.0,41.9,2.2
1197,＜魚類＞　いかなご　生,111,17.2,5.5,0.1
1198,＜魚類＞　いかなご　煮干し,218,43.1,6.1,1.5
1199,＜魚類＞　いかなご　つくだ煮,271,29.4,4.6,30.7
1200,＜魚類＞　いかなご　あめ煮,268,25.6,3.7,35.8
1201,＜魚類＞　いさき　生,116,17.2,5.7,0.1
1202,＜魚類＞　いしだい　生,138,19.5,7.8,Tr
1203,＜魚類＞　いとよりだい　生,85,18.1,1.7,0.1
1204,＜魚類＞　いとよりだい　すり身,88,16.7,0.4,5.1
1205,＜魚類＞　いぼだい　生,132,16.4,8.5,Tr
1206,＜魚類＞　（いわし類）　うるめいわし　生,124,21.3,4.8,0.3
1207,＜魚類＞　（いわし類）　うるめいわし　丸干し,219,45.0,5.1,0.3
1208,＜魚類＞　（いわし類）　かたくちいわし　生,171,18.2,12.1,0.3
1209,＜魚類＞　（いわし類）　かたくちいわし　煮干し,298,64.5,6.2,0.3
1210,＜魚類＞　（いわし類）　かたくちいわし　田作り,304,66.6,5.7,0.3
1211,＜魚類＞　（いわし類）　まいわし　生,156,19.2,9.2,0.2
1212,＜魚類＞　（いわし類）　まいわし　水煮,182,22.4,8.7,0.2
1213,＜魚類＞　（いわし類）　まいわし　焼き,199,25.3,9.4,0.2
1214,＜魚類＞　（いわし類）　まいわし　フライ,384,20.0,30.3,10.7
1215,＜魚類＞　（いわし類）　まいわし　塩いわし,143,16.8,9.6,0.4
1216,＜魚類＞　（いわし類）　まいわし　生干し,217,20.6,16.0,1.1
1217,＜魚類＞　（いわし類）　まいわし　丸干し,177,32.8,5.5,0.7
1218,＜魚類＞　（いわし類）　めざし　生,206,18.2,18.9,0.5
1219,＜魚類＞　（いわし類）　めざし　焼き,200,23.7,15.0,0.7
1220,＜魚類＞　（いわし類）　しらす　生,67,15.0,1.3,0.1
1221,＜魚類＞　（いわし類）　しらす　釜揚げしらす,80,17.6,1.7,Tr
1222,＜魚類＞　（いわし類）　しらす干し　微乾燥品,113,24.5,2.1,0.1
1223,＜魚類＞　（いわし類）　しらす干し　半乾燥品,187,40.5,3.5,0.5
1224,＜魚類＞　（いわし類）　たたみいわし,348,75.1,5.6,0.7
1225,＜魚類＞　（いわし類）　みりん干し　かたくちいわし,330,44.3,7.0,25.0
1226,＜魚類＞　（いわし類）　みりん干し　まいわし,314,31.4,15.7,16.3
1227,＜魚類＞　（いわし類）　缶詰　水煮,168,20.7,10.6,0.1
1228,＜魚類＞　（いわし類）　缶詰　味付け,203,20.4,11.9,5.7
1229,＜魚類＞　（いわし類）　缶詰　トマト漬,167,17.5,10.8,1.3
1230,＜魚類＞　（いわし類）　缶詰　油漬,351,20.3,30.7,0.3
1231,＜魚類＞　（いわし類）　缶詰　かば焼,234,16.2,15.6,9.3
1232,＜魚類＞　（いわし類）　缶詰　アンチョビ,157,24.2,6.8,0.1
1233,＜魚類＞　いわな　養殖　生,101,19.0,3.6,0.1
1234,＜魚類＞　うぐい　生,93,20.1,1.5,0.2
1235,＜魚類＞　うなぎ　養殖　生,228,17.1,19.3,0.3
1236,＜魚類＞　うなぎ　きも　生,102,13.0,5.3,3.5
1237,＜魚類＞　うなぎ　白焼き,287,20.7,25.8,0.1
1238,＜魚類＞　うなぎ　かば焼,285,23.0,21.0,3.1
1239,＜魚類＞　うまづらはぎ　生,75,18.2,0.3,Tr
1240,＜魚類＞　うまづらはぎ　味付け開き干し,289,58.9,1.6,10.4
1241,＜魚類＞　えい　生,78,19.1,0.3,0.1
1242,＜魚類＞　えそ　生,87,20.1,0.8,0.1
1243,＜魚類＞　おいかわ　生,124,19.2,5.8,0.1
1244,＜魚類＞　おおさが　生,131,16.3,8.0,0.1
1245,＜魚類＞　おこぜ　生,81,19.6,0.2,0.2
1246,＜魚類＞　おひょう　生,91,19.9,1.7,0.1
1247,＜魚類＞　かさご　生,83,19.3,1.1,0.1
1248,＜魚類＞　かじか　生,98,15.0,5.0,0.2
1249,＜魚類＞　かじか　水煮,108,15.8,5.8,0.2
1250,＜魚類＞　かじか　つくだ煮,293,29.4,5.5,33.8
1251,＜魚類＞　（かじき類）　くろかじき　生,93,22.9,0.2,0.1
1252,＜魚類＞　（かじき類）　まかじき　生,107,23.1,1.8,0.1
1253,＜魚類＞　（かじき類）　めかじき　生,139,19.2,7.6,0.1
1254,＜魚類＞　（かじき類）　めかじき　焼き,202,27.5,11.1,0
1255,＜魚類＞　（かつお類）　かつお　春獲り　生,108,25.8,0.5,0.1
1256,＜魚類＞　（かつお類）　かつお　秋獲り　生,150,25.0,6.2,0.2
1257,＜魚類＞　（かつお類）　そうだがつお　生,126,25.7,2.8,0.3
1258,＜魚類＞　（かつお類）　加工品　なまり,126,29.8,0.7,0.4
1259,＜魚類＞　（かつお類）　加工品　なまり節,162,38.0,1.1,0.5
1260,＜魚類＞　（かつお類）　加工品　裸節,306,71.6,3.3,0.2
1261,＜魚類＞　（かつお類）　加工品　かつお節,332,77.1,2.9,0.8
1262,＜魚類＞　（かつお類）　加工品　削り節,327,75.7,3.2,0.4
1263,＜魚類＞　（かつお類）　加工品　削り節つくだ煮,233,19.5,3.3,32.3
1264,＜魚類＞　（かつお類）　加工品　角煮,221,31.0,1.6,21.4
1265,＜魚類＞　（かつお類）　加工品　塩辛,55,12.0,1.5,Tr
1266,＜魚類＞　（かつお類）　缶詰　味付け　フレーク,139,18.4,2.7,10.7
1267,＜魚類＞　（かつお類）　缶詰　油漬　フレーク,289,18.8,24.2,0.1
1268,＜魚類＞　かます　生,137,18.9,7.2,0.1
1269,＜魚類＞　かます　焼き,134,23.3,4.9,0.1
1270,＜魚類＞　（かれい類）　まがれい　生,89,19.6,1.3,0.1
1271,＜魚類＞　（かれい類）　まがれい　水煮,97,21.4,1.1,0.1
1272,＜魚類＞　（かれい類）　まがれい　焼き,104,23.4,1.3,0.1
1273,＜魚類＞　（かれい類）　まこがれい　生,86,18.0,1.8,0.1
1274,＜魚類＞　（かれい類）　まこがれい　焼き,138,28.5,2.8,0.2
1275,＜魚類＞　（かれい類）　子持ちがれい　生,123,19.9,6.2,0.1
1276,＜魚類＞　（かれい類）　子持ちがれい　水煮,137,22.3,7.2,0.1
1277,＜魚類＞　（かれい類）　干しかれい,104,20.2,3.4,Tr
1278,＜魚類＞　かわはぎ　生,77,18.8,0.4,Tr
1279,＜魚類＞　かんぱち　三枚おろし　生,119,21.0,4.2,0.1
1280,＜魚類＞　かんぱち　背側　生,95,22.2,1.2,0.1
1281,＜魚類＞　きす　生,73,18.5,0.2,0
1282,＜魚類＞　きす　天ぷら,234,18.4,15.2,7.8
1283,＜魚類＞　きちじ　生,238,13.6,21.7,Tr
1284,＜魚類＞　きびなご　生,85,18.8,1.4,0.1
1285,＜魚類＞　きびなご　調味干し,226,47.9,7.4,0.5
1286,＜魚類＞　キャビア　塩蔵品,242,26.2,17.1,1.1
1287,＜魚類＞　キングクリップ　生,73,18.2,0.1,Tr
1288,＜魚類＞　ぎんだら　生,210,13.6,18.6,Tr
1289,＜魚類＞　ぎんだら　水煮,253,14.9,23.8,0
1290,＜魚類＞　きんめだい　生,147,17.8,9.0,0.1
1291,＜魚類＞　ぐち　生,78,18.0,0.8,Tr
1292,＜魚類＞　ぐち　焼き,100,23.4,0.8,Tr
1293,＜魚類＞　こい　養殖　生,157,17.7,10.2,0.2
1294,＜魚類＞　こい　養殖　水煮,190,19.2,13.4,0.2
1295,＜魚類＞　こい　養殖　内臓　生,258,9.0,25.9,1.3
1296,＜魚類＞　（こち類）　まごち　生,94,22.5,0.5,0.2
1297,＜魚類＞　（こち類）　めごち　生,73,17.1,0.6,0.1
1298,＜魚類＞　このしろ　生,146,19.0,8.3,0.4
1299,＜魚類＞　このしろ　甘酢漬,184,19.1,10.1,6.4
1300,＜魚類＞　（さけ・ます類）　からふとます　生,139,21.7,6.6,0.1
1301,＜魚類＞　（さけ・ます類）　からふとます　焼き,175,28.1,7.7,0.1
1302,＜魚類＞　（さけ・ます類）　からふとます　塩ます,146,20.9,7.4,0.6
1303,＜魚類＞　（さけ・ます類）　からふとます　水煮缶詰,145,20.7,7.2,0.1
